"記事番号","カテゴリ","記事タイトル","画像枚数の目安","アイキャッチ_ファイル名","アイキャッチ_alt","検索キーワード(日)","検索キーワード(英)","本文中画像のヒント"
"001","売買・購入","東京で中古マンションを買う流れ｜内見から引き渡しまで完全ガイド","アイキャッチ1枚（必須）＋本文中1枚（任意）","001-chuko-mansion-kounyu-nagare-hero.jpg","東京の中古マンションを内見する夫婦。窓からの採光と室内の状態を確認している様子","中古マンション / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「中古マンション」に関する写真や図解を1枚（任意）。ファイル名例: 001-chuko-mansion-kounyu-nagare-01.jpg"
"002","売買・売却","不動産売却の流れと費用｜東京・首都圏で損しない売り方","アイキャッチ1枚（必須）＋本文中1枚（任意）","002-fudosan-baikyaku-nagare-hero.jpg","売却を検討する自宅マンションのリビング。査定前に室内を整えている様子","不動産売却 / 不動産 / 一戸建て","selling home japan real estate house key handover","最初の見出し（##）付近に「不動産売却」に関する写真や図解を1枚（任意）。ファイル名例: 002-fudosan-baikyaku-nagare-01.jpg"
"003","お金・ローン","住宅ローンはいくら借りられる？年収別の目安と無理のない返済計画","アイキャッチ1枚（必須）＋本文中1枚（任意）","003-jutaku-loan-ikura-kariru-hero.jpg","住宅ローンの返済計画を電卓と資料で確認する様子。年収から無理のない借入額を試算している","住宅ローン / 家計 / 電卓 お金","home loan finance money calculator financial planning","最初の見出し（##）付近に「住宅ローン」に関する写真や図解を1枚（任意）。ファイル名例: 003-jutaku-loan-ikura-kariru-01.jpg"
"004","賃貸","賃貸の初期費用はいくら？内訳と安く抑える7つのコツ","アイキャッチ1枚（必須）＋本文中1枚（任意）","004-chintai-shokihiyo-osaeru-hero.jpg","賃貸契約の初期費用の内訳を見積書で確認する様子。敷金・礼金・仲介手数料などの項目","賃貸 / 賃貸 部屋 / 引っ越し","apartment rental moving japan room interior","最初の見出し（##）付近に「賃貸」に関する写真や図解を1枚（任意）。ファイル名例: 004-chintai-shokihiyo-osaeru-01.jpg"
"005","エリア","東京周辺で住みやすい街8選｜家賃相場と子育て・通勤のしやすさ","アイキャッチ1枚（必須）＋本文中1枚（任意）","005-tokyo-sumiyasui-machi-hero.jpg","首都圏の住宅街と駅前の様子。通勤利便性と暮らしやすさを兼ね備えたエリアのイメージ","東京 / 東京 街並み / 住宅街","tokyo japan cityscape residential neighborhood station","最初の見出し（##）付近に「東京」に関する写真や図解を1枚（任意）。ファイル名例: 005-tokyo-sumiyasui-machi-01.jpg"
"006","売買・購入","住宅購入の頭金は何割が目安？0円でも買える？東京の相場で解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","006-jutaku-kounyu-atamakin-meyasu-hero.jpg","住宅購入の資金計画を立てる夫婦。電卓と通帳を前に頭金の金額を相談している様子","住宅購入 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「住宅購入」に関する写真や図解を1枚（任意）。ファイル名例: 006-jutaku-kounyu-atamakin-meyasu-01.jpg"
"007","売買・購入","物件購入の値引き交渉は可能？成功するコツと相場観を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","007-fudosan-nebiki-kosho-hero.jpg","不動産の価格交渉について担当者と相談する購入希望者。資料を見ながら値引きの可能性を確認している様子","不動産 / マンション / 住宅購入","japanese couple home buying real estate apartment","最初の見出し（##）付近に「不動産」に関する写真や図解を1枚（任意）。ファイル名例: 007-fudosan-nebiki-kosho-01.jpg"
"008","売買・購入","重要事項説明書で必ず確認すべきポイント｜東京の不動産購入","アイキャッチ1枚（必須）＋本文中1枚（任意）","008-juyojiko-setsumeisho-kakunin-hero.jpg","重要事項説明を受ける購入希望者。宅地建物取引士から書面の内容について説明を受けている様子","重要事項説明書 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「重要事項説明書」に関する写真や図解を1枚（任意）。ファイル名例: 008-juyojiko-setsumeisho-kakunin-01.jpg"
"009","売買・購入","不動産売買契約の流れと手付金の注意点｜東京の購入ガイド","アイキャッチ1枚（必須）＋本文中1枚（任意）","009-baibai-keiyaku-nagare-tetsukekin-hero.jpg","不動産売買契約を結ぶ場面。契約書に署名・押印する購入者と立ち会う担当者の様子","不動産 / マンション / 住宅購入","japanese couple home buying real estate apartment","最初の見出し（##）付近に「不動産」に関する写真や図解を1枚（任意）。ファイル名例: 009-baibai-keiyaku-nagare-tetsukekin-01.jpg"
"010","売買・購入","マンションの管理費・修繕積立金の相場と見極め方｜東京で解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","010-mansion-shuzen-tsumitatekin-soba-hero.jpg","マンションの管理費・修繕積立金の資料を確認する購入希望者。長期修繕計画書を見ながら相談している様子","マンション / 不動産 / 住宅購入","japanese couple home buying real estate apartment","最初の見出し（##）付近に「マンション」に関する写真や図解を1枚（任意）。ファイル名例: 010-mansion-shuzen-tsumitatekin-soba-01.jpg"
"011","売買・購入","旧耐震・新耐震の違いとは｜中古購入時の判断基準を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","011-kyutaishin-shintaishin-chigai-hero.jpg","中古マンションの外観を見上げて建物の状態を確認する購入検討中の夫婦","旧耐震 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「旧耐震」に関する写真や図解を1枚（任意）。ファイル名例: 011-kyutaishin-shintaishin-chigai-01.jpg"
"012","売買・購入","ハザードマップの見方｜首都圏で水害に強い土地選び","アイキャッチ1枚（必須）＋本文中1枚（任意）","012-hazard-map-mikata-hero.jpg","パソコンでハザードマップを開き、購入候補エリアの浸水リスクを確認する家族","ハザードマップ / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「ハザードマップ」に関する写真や図解を1枚（任意）。ファイル名例: 012-hazard-map-mikata-01.jpg"
"013","売買・購入","共働き夫婦の住宅購入｜ペアローンと収入合算の選び方","アイキャッチ1枚（必須）＋本文中1枚（任意）","013-pair-loan-shunyu-gassan-hero.jpg","資料を広げて住宅ローンの借入方法を話し合う共働きの夫婦","ペアローン / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「ペアローン」に関する写真や図解を1枚（任意）。ファイル名例: 013-pair-loan-shunyu-gassan-01.jpg"
"014","売買・購入","リノベ前提で中古を買う｜物件選びと費用の考え方","アイキャッチ1枚（必須）＋本文中1枚（任意）","014-renovation-zentei-chuko-kounyu-hero.jpg","リノベーション前の中古マンションの室内を見て間取りの可能性を話し合う夫婦","リノベ前提 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「リノベ前提」に関する写真や図解を1枚（任意）。ファイル名例: 014-renovation-zentei-chuko-kounyu-01.jpg"
"015","売買・購入","マンションvs戸建て、どっちを買うべき？10の判断軸","アイキャッチ1枚（必須）＋本文中1枚（任意）","015-mansion-kodate-docchi-hero.jpg","マンションと戸建ての資料を見比べて住まい選びを検討する家族","マンション / 不動産 / 住宅購入","japanese couple home buying real estate apartment","最初の見出し（##）付近に「マンション」に関する写真や図解を1枚（任意）。ファイル名例: 015-mansion-kodate-docchi-01.jpg"
"016","売買・購入","不動産購入で失敗する人の共通点｜後悔を防ぐ7つの回避法","アイキャッチ1枚（必須）＋本文中1枚（任意）","016-fudosan-kounyu-shippai-hero.jpg","間取り図と資金計画書を前に話し合う夫婦。不動産購入の検討段階で慎重に判断している様子","不動産購入 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「不動産購入」に関する写真や図解を1枚（任意）。ファイル名例: 016-fudosan-kounyu-shippai-01.jpg"
"017","売買・購入","東京で3000万円で買えるマンションのリアル｜エリアと広さの目安","アイキャッチ1枚（必須）＋本文中1枚（任意）","017-tokyo-3000man-mansion-hero.jpg","東京の住宅街に建つマンション群。予算3,000万円で物件を探す人がエリアを比較している様子","東京 / 不動産 / マンション","japanese couple home buying real estate apartment","最初の見出し（##）付近に「東京」に関する写真や図解を1枚（任意）。ファイル名例: 017-tokyo-3000man-mansion-01.jpg"
